time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-11T18:44:46.894Z,61.4926,-146.5478,20,1.6,ml,,,,0.74,ak,ak20251653,2018-09-11T18:54:50.729Z,"41km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-11T18:39:15.760Z,33.4915,-116.7935,3.79,0.7,ml,25,44,0.02159,0.16,ci,ci38056887,2018-09-11T19:09:31.958Z,"9km NE of Aguanga, CA",earthquake,0.2,0.35,0.102,9,reviewed,ci,ci
2018-09-11T18:25:34.610Z,19.373,-68.2803,33,3.1,md,10,297,0.865,0.25,pr,pr2018254011,2018-09-11T19:06:38.768Z,"88km N of Punta Cana, Dominican Republic",earthquake,2.69,15.81,0.35,10,reviewed,pr,pr
2018-09-11T18:24:43.220Z,33.4948333,-116.7913333,3.91,0.5,ml,24,57,0.01904,0.16,ci,ci38056871,2018-09-11T18:42:42.484Z,"9km NE of Aguanga, CA",earthquake,0.22,0.42,0.161,4,reviewed,ci,ci
2018-09-11T18:14:58.130Z,36.0575,-120.6435,-0.25,1.03,md,24,111,0.03996,0.15,nc,nc73083360,2018-09-11T22:39:54.156Z,"24km E of San Ardo, CA",earthquake,0.61,3.16,0.286,9,reviewed,nc,nc
2018-09-11T18:14:01.760Z,37.7,-118.9233333,7.01,0.12,md,10,263,0.02326,0.1,nc,nc73083355,2018-09-11T19:51:29.218Z,"9km NE of Mammoth Lakes, CA",earthquake,2.12,31.61,0.172,9,reviewed,nc,nc
2018-09-11T18:12:32.467Z,69.2019,-146.6735,0,3.3,ml,,,,1.06,ak,ak20251647,2018-09-11T18:19:14.244Z,"128km NNW of Arctic Village, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-11T17:55:28.939Z,36.8801,-115.9739,7.2,-0.2,ml,10,177.07,0.027,0.1108,nn,nn00656182,2018-09-12T02:06:27.785Z,"70km E of Beatty, Nevada",earthquake,,1.4,0.5,4,reviewed,nn,nn
2018-09-11T17:49:26.290Z,33.4853333,-116.7976667,4.42,1.44,ml,56,33,0.02706,0.21,ci,ci38056831,2018-09-11T18:35:50.080Z,"8km NE of Aguanga, CA",earthquake,0.16,0.35,0.12,28,reviewed,ci,ci
2018-09-11T17:48:16.939Z,59.9658,-152.8778,97.4,1.5,ml,,,,0.69,ak,ak20251643,2018-09-11T17:53:08.726Z,"58km S of Redoubt Volcano, Alaska",earthquake,,2.3,,,automatic,ak,ak
2018-09-11T17:37:30.830Z,35.9893333,-120.8866667,9.28,0.97,md,30,91,0.03552,0.06,nc,nc73083335,2018-09-11T22:37:13.920Z,"4km SSE of San Ardo, CA",earthquake,0.32,0.4,0.157,11,reviewed,nc,nc
2018-09-11T17:31:06.612Z,61.0689,-141.7885,34.6,1.2,ml,,,,1.05,ak,ak20251631,2018-09-11T17:37:11.021Z,"117km NNE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-11T17:30:14.153Z,63.0252,-150.9373,120,2.8,ml,,,,0.48,ak,ak20251622,2018-09-11T17:40:33.515Z,"88km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-11T17:11:30.730Z,37.4856667,-121.805,5.75,1.64,md,38,63,0.03545,0.04,nc,nc73083315,2018-09-11T23:11:03.460Z,"11km NE of Milpitas, CA",earthquake,0.14,0.28,0.206,37,reviewed,nc,nc
2018-09-11T17:10:50.191Z,69.145,-144.5424,0,2.3,ml,,,,0.79,ak,ak20251619,2018-09-11T17:16:22.078Z,"115km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-11T17:07:36.150Z,35.5258333,-118.3186667,2.48,1,ml,15,118,0.1458,0.12,ci,ci38056807,2018-09-11T17:52:09.273Z,"17km ESE of Bodfish, CA",earthquake,0.21,1.02,0.186,9,reviewed,ci,ci
